titre,nom,stars,localisation,nb_reviews,date_review,date_experience,comment
Very quick and easy process.,BRIDGET F,Rated 5 out of 5 stars,US,2 reviews,2019-05-10T03:48:15.000Z,,
Frustrating experience,KAREN W,Rated 1 out of 5 stars,US,1 review,2019-05-10T03:03:04.000Z,,"We did eventually get our product replaced, but the process was beyond frustrating"
Excelent service,RAUL R,Rated 5 out of 5 stars,US,1 review,2019-05-10T02:47:16.000Z,,
Great,Ernesto,Rated 5 out of 5 stars,US,1 review,2019-05-10T02:34:03.000Z,,Great and fast service!!!
Great,EDWIN U,Rated 5 out of 5 stars,US,1 review,2019-05-10T02:26:24.000Z,,"Great, quick service! Ran into no issues at all. Claim was simple to fill out and received a replacement faster than expected."
I ended up having to purchase a case…,Deivea Hurley ,Rated 4 out of 5 stars,US,1 review,2019-05-10T01:51:56.000Z,,I ended up having to purchase a case and screen protector for the tablet which I was confused because when I first made claim I was told it would have a case and would be protected without me having to purchase all o er again.
Quick and easy,ALYSSA S,Rated 5 out of 5 stars,US,1 review,2019-05-10T01:48:56.000Z,,
EXCELLENT COMPANY I WOULD RECOMMEND…,SHUKRI A,Rated 5 out of 5 stars,US,1 review,2019-05-10T01:34:34.000Z,,EXCELLENT COMPANY I WOULD RECOMMEND THIS COMPANY TO ANYONE
Had to go through some issues but…,JOHN B,Rated 4 out of 5 stars,US,1 review,2019-05-10T01:33:45.000Z,,Had to go through some issues but satisfied with the result .
Excellent,KEVIN M,Rated 5 out of 5 stars,US,2 reviews,2019-05-10T01:27:21.000Z,,"Excellent, speedy process."
got the new phone,Marla,Rated 5 out of 5 stars,US,1 review,2019-05-10T00:46:31.000Z,,
I like the service the people gave me…,Sandra,Rated 5 out of 5 stars,US,1 review,2019-05-10T00:46:30.000Z,,"I like the service the people gave me when I call , for my problem and they fix it fast thank you"
It is always a pleasure and an easy to…,TRISHA Smith,,US,2 reviews,2019-05-10T00:29:59.000Z,,It is always a pleasure and an easy to deal with asurion
Thank you,ELVI,Rated 5 out of 5 stars,US,1 review,2019-05-09T23:30:05.000Z,,"Great service, fast delivery.Thank you"
Excellent service,Jimmie,Rated 5 out of 5 stars,US,2 reviews,2019-05-09T23:28:09.000Z,,Excellent service!  Got my phone in 2 days. Excellent Pro Tech help.
Always a pleasure to work with your…,NANCY S,Rated 5 out of 5 stars,US,1 review,2019-05-09T22:20:43.000Z,,Always a pleasure to work with your organization.
everything was easy and love easy…,MARY L,Rated 5 out of 5 stars,US,3 reviews,2019-05-09T21:49:21.000Z,,everything was easy and love easy return option
timely,Jorge,Rated 5 out of 5 stars,US,1 review,2019-05-09T21:38:49.000Z,,"timely,  thank you"
Easiest claim experience ever.,WALT,Rated 5 out of 5 stars,US,2 reviews,2019-05-09T21:36:43.000Z,,Easiest claim experience ever. Quick and fast to get the claim processed. They said it could take a few days to get the device but we had the replacement the next day. Amazing service!
Just Awesome customer service and…,Laqueena,Rated 5 out of 5 stars,US,1 review,2019-05-09T19:29:39.000Z,,Just Awesome customer service and helpful!
I called Asurion because I dropped my…,TERRENCE W,Rated 5 out of 5 stars,US,1 review,2019-05-09T18:40:54.000Z,,I called Asurion because I dropped my phone and cracked my screen. The services I received was very customer friendly. My phone was fixed the next day.  THANK YOU
Fast and easy!,DELFINO G,Rated 5 out of 5 stars,US,1 review,2019-05-09T18:38:56.000Z,,
Great,Lakeith,Rated 5 out of 5 stars,US,1 review,2019-05-09T18:23:07.000Z,,They’re awesome
Efficient Timely Resolution with Ease,Joyce,Rated 5 out of 5 stars,US,1 review,2019-05-09T17:51:06.000Z,,Customer friendly quick turnaround in addressing my grandson's mobile problem with ease and efficiency.  Great demonstration of customer service and and an expedient resolution process.
I was able to make my claim fairly…,VICKIE B,Rated 5 out of 5 stars,US,1 review,2019-05-09T15:39:06.000Z,,"I was able to make my claim fairly easily, received my new device extremely quickly, and returning the old one was a breeze."
Loved the process,NICOLE L,Rated 5 out of 5 stars,US,1 review,2019-05-09T15:33:04.000Z,,Loved the process! Easy and quick.
good service,Andrew,Rated 4 out of 5 stars,US,2 reviews,2019-05-09T15:19:35.000Z,,"good service, with today's smart phone prices the deductibles are going up and is now beginning to be questionable on if the service is really worth it or not."
Got everything the way they said,MARK T,Rated 5 out of 5 stars,US,2 reviews,2019-05-09T14:59:49.000Z,,
This was the most difficult process I…,SHEA,Rated 1 out of 5 stars,US,1 review,2019-05-09T14:53:10.000Z,,"This was the most difficult process I have ever been through. Who knew there would be so many hoops to jump through, just to get a refurbished phone? Completely dissatisfied with my experience and considering cancelling my insurance so I don’t have to go through it again."
Powerful,MARK W,Rated 5 out of 5 stars,US,5 reviews,2019-05-09T14:52:43.000Z,,This is a very powerful service which by ‘knowing’ me understands my particular needs and exposure. Thank you!!!
Thanks!,JEREMY H,Rated 5 out of 5 stars,US,1 review,2019-05-09T14:46:43.000Z,,Thanks!  Everything went very well and I recommend this service for anyone.
Great time and ease of use with the…,RW,Rated 5 out of 5 stars,US,1 review,2019-05-09T14:39:08.000Z,,Great time and ease of use with the app! Love it
Quick and easy,DEBORAH W,Rated 5 out of 5 stars,US,3 reviews,2019-05-09T14:11:01.000Z,,It was a very simple process and the phone arrived quickly.
The experience was timely and efficient.,STEVEN A,Rated 5 out of 5 stars,US,1 review,2019-05-09T13:50:42.000Z,,
This was an unexpectedly easy process,JILL S,Rated 5 out of 5 stars,US,1 review,2019-05-09T13:46:23.000Z,,
Problem resolved in a FLASH!,ROBERT H,Rated 5 out of 5 stars,US,1 review,2019-05-09T13:28:38.000Z,,
It’s was easy to file the claim and…,AMANDA B,Rated 5 out of 5 stars,US,1 review,2019-05-09T13:26:56.000Z,,It’s was easy to file the claim and easy to set up new phone and send it back! The call center people where very nice.
I ended up having to go to the Verizon…,KATIE W,Rated 4 out of 5 stars,US,1 review,2019-05-09T13:25:52.000Z,,"I ended up having to go to the Verizon store because my phone wouldn't let me sign into my apple account. Other than that, everything was great!"
Very easy process,DOWNS H,Rated 4 out of 5 stars,US,1 review,2019-05-09T12:12:46.000Z,,Very easy process.  We did have to go through the affidavit process which slightly delayed the phone getting here but it was received and is working well.  The staff that helped me over the phone was efficient and pleasant which made the process run smoothly.
It’s all good,GARY A,Rated 5 out of 5 stars,US,2 reviews,2019-05-09T12:03:22.000Z,,
Very fast response with no hassle at…,Steve ,Rated 5 out of 5 stars,US,1 review,2019-05-09T11:59:17.000Z,,Very fast response with no hassle at all. All return information was there.
Customer service rep was very thorough…,FRANCIS D,Rated 5 out of 5 stars,US,1 review,2019-05-09T11:09:29.000Z,,Customer service rep was very thorough in explaining my question. She was courteous and knowledgeable.Extremely helpful!
The 24 hour replacement phone...,Gail,Rated 5 out of 5 stars,US,2 reviews,2019-05-09T10:36:22.000Z,,"The 24 hour turn around to replace my phone through the insurance program was excellent.However, the refurbished replacement phone very quickly proved unreliable. More specifically, the phone had to remain plugged in to an outlet to remain ""on"".  Even though it displayed 100% charged, it would power off within one minute after disconnect from the ac outlet.Because reliability of my cell phone is crucial to my position as Chairperson of our local Food Pantry and current medical issues, the replacement phone has been replaced by an upgrade through our Verizon plan.The insurance did provide a much needed bridge, even with it's limitations, from my lost phone to the new phone received through our Verizon plan."
Lounger,DONALD J,Rated 5 out of 5 stars,US,1 review,2019-05-09T10:33:55.000Z,,Comfortable and good for napping.
Quick and easy,JOHN N,Rated 5 out of 5 stars,US,1 review,2019-05-09T10:18:58.000Z,,"Quick and easy, got replacement phone next day."
Quick and easy,CHRISTOPHER D,Rated 5 out of 5 stars,US,1 review,2019-05-09T10:03:56.000Z,,
great customer services,Cheryl,Rated 5 out of 5 stars,US,1 review,2019-05-09T08:13:06.000Z,,
Quick and painless,DIFILIPPO M,Rated 4 out of 5 stars,US,1 review,2019-05-09T08:07:28.000Z,,The interaction was fairly quick and painless
Technician was great and walked through…,TIMOTHY S,Rated 5 out of 5 stars,US,1 review,2019-05-09T05:12:28.000Z,,Technician was great and walked through problems I was having with Verizon.
Prompt service,Susan,,US,3 reviews,2019-05-09T04:43:25.000Z,,Prompt service and on time when I needed them most.
It was smooth and painless.,SCOTT M,Rated 5 out of 5 stars,US,1 review,2019-05-09T04:10:54.000Z,,
Excellent service with less than 18…,Marsha,Rated 5 out of 5 stars,US,1 review,2019-05-09T04:03:06.000Z,,Excellent service with less than 18 hours between my phone call and the delivery of replacement phones. I'm DEFINITELY a customer for life!
Such timely manner,DOUG F,Rated 5 out of 5 stars,US,1 review,2019-05-09T04:01:21.000Z,,Such timely manner. G8 job.Completely satisfied
No complaints received my Iwatch with…,WILLIE WOOLARD,Rated 5 out of 5 stars,US,2 reviews,2019-05-09T04:00:46.000Z,,No complaints received my Iwatch with overnight shipping
Replacement phone,Tamara,Rated 5 out of 5 stars,US,2 reviews,2019-05-09T03:52:32.000Z,,Excellent Excellent Excellent
I ran into a link while activating my…,BEATRICE D,Rated 5 out of 5 stars,US,1 review,2019-05-09T03:46:30.000Z,,I ran into a link while activating my replacement phone but they help me expedite it.
Good stuff,DAVID A,Rated 5 out of 5 stars,US,1 review,2019-05-09T03:36:42.000Z,,Good stuff. Won't don't it again
Service was easy fast efficient,Misty,Rated 4 out of 5 stars,US,1 review,2019-05-09T03:32:14.000Z,,Service was easy fast efficient. Phone arrived right on time I called in Friday had new phone Monday morning. The only issue is the phone replacement has a speaker problem on arrival but the are refurbished so...
Great,STEVEN S,Rated 5 out of 5 stars,US,1 review,2019-05-09T03:31:39.000Z,,"Great no problems, fast"
No complaints,CAREYEE B,Rated 5 out of 5 stars,US,1 review,2019-05-09T03:06:33.000Z,,
Good job,JOSIAH M,Rated 5 out of 5 stars,US,1 review,2019-05-09T03:03:40.000Z,,Good job guys
Excellent experience with Asurion,ROBERT B,Rated 5 out of 5 stars,US,1 review,2019-05-09T02:55:26.000Z,,"So many things can go wrong with insurance, but none of them went wrong on this claim. Great job by everybody at the company. Thank you very much."
Great job,KYLE C,Rated 5 out of 5 stars,US,1 review,2019-05-09T02:55:04.000Z,,Great job - fast turnaround.
I’ve had to use Asurion a couple of…,DERMOT M,Rated 5 out of 5 stars,US,1 review,2019-05-09T02:52:50.000Z,,I’ve had to use Asurion a couple of times. The service has always been great and our products were delivered within 24 hours so we never really skipped a beat. Thank you!
Wow easy to deal withwow,Jesse,Rated 5 out of 5 stars,US,1 review,2019-05-09T02:45:38.000Z,,Wow easy to deal with.  Thanks
Excellent customer service,Cynthia,Rated 5 out of 5 stars,US,1 review,2019-05-09T02:43:45.000Z,,"Excellent customer service, swift response time, replacement completed within a few days! Thanx for all you do!"
excellent service!,Veronika,Rated 5 out of 5 stars,US,1 review,2019-05-09T02:36:49.000Z,,
Quick service,JESUS R,Rated 4 out of 5 stars,US,1 review,2019-05-09T01:54:58.000Z,,
Other than the glitch of uploading…,Jedidiah,Rated 5 out of 5 stars,US,1 review,2019-05-09T01:50:07.000Z,,"Other than the glitch of uploading everything was amazing! Amazing  ProTech assistance as well, overall extremely satisfied."
Phone came fast and very  convenient,Dalisha,Rated 5 out of 5 stars,US,1 review,2019-05-09T01:13:16.000Z,,
Good,Lionel,Rated 5 out of 5 stars,US,1 review,2019-05-08T22:54:17.000Z,,"Good customer service, nice job ,awesome to work with"
Customer service was very helpful…,Breanna,Rated 5 out of 5 stars,US,1 review,2019-05-08T22:46:11.000Z,,"Customer service was very helpful through the whole process, and once I got started it only took a few days until I had a new phone ready to go"
Awesome and super fast,Joe,Rated 5 out of 5 stars,US,1 review,2019-05-08T22:42:31.000Z,,
Excellent service received replacement…,Charlene,Rated 5 out of 5 stars,US,5 reviews,2019-05-08T21:17:50.000Z,,Excellent service received replacement the next day
ipad replacement,LINDA O,Rated 5 out of 5 stars,US,1 review,2019-05-08T20:54:16.000Z,,Awesome service and quick
Painless operation great insurance for…,JAMES B,Rated 5 out of 5 stars,US,1 review,2019-05-08T20:40:21.000Z,,Painless operation great insurance for a teenager with expensive tech.
Fast and courteous  service,Lawrence,Rated 5 out of 5 stars,US,1 review,2019-05-08T20:14:43.000Z,,Fast and courteous  service.  Great to do business with.  Highly recommended
Overnight shipment as guaranteed,LEONARD G,Rated 5 out of 5 stars,US,1 review,2019-05-08T19:55:33.000Z,,"Overnight shipment as guaranteed, and your team was very helpful in getting my new phone working properly, sim card,contacts and everything else that needed to be done to get me reconnected, thank you very much."
Had some issues with the website,Aaron,Rated 4 out of 5 stars,US,3 reviews,2019-05-08T18:51:48.000Z,,"Had some issues with the website, it took several times to get it to accept my information, but my phone came quickly and that part was very easy."
The entire process went smoothly and we…,Judy,Rated 5 out of 5 stars,US,1 review,2019-05-08T17:10:31.000Z,,The entire process went smoothly and we received our new phone very quickly
Flawless experience,STEVEN S,Rated 5 out of 5 stars,US,1 review,2019-05-08T17:02:16.000Z,,"Flawless experience. Got new phone over night, returned broken phone via mail and that was that. easy ."
Received new phone is one day,Jennifer,Rated 4 out of 5 stars,US,1 review,2019-05-08T16:41:45.000Z,,Received new phone is one day! Great service.  Only reason I did not give 5 starts was because I did not receive an email or text that the broken phone was received.  I mailed over a week and no reply.  I would like to have confirmation that I will not be charged and the returned phone was received.
Quick and efficient service.,Linda,Rated 5 out of 5 stars,US,1 review,2019-05-08T16:32:27.000Z,,
Great customer service,JON B,Rated 5 out of 5 stars,US,1 review,2019-05-08T16:22:34.000Z,,
Professional Experience,JAMES Ortiz Jr. ,Rated 5 out of 5 stars,US,1 review,2019-05-08T16:17:13.000Z,,"Professional Experience. Absolutely  great, thank you for your promptness in this matter. James Ortiz Jr."
Professional and very helpful.,MM,Rated 5 out of 5 stars,US,1 review,2019-05-08T15:51:08.000Z,,
Very fast send new device.,JAMES G,Rated 5 out of 5 stars,US,1 review,2019-05-08T15:17:56.000Z,,
Excellent Service,JEROME N,Rated 5 out of 5 stars,US,1 review,2019-05-08T15:12:09.000Z,,"Excellent, quick customer service."
I’m happy!,Jared,Rated 5 out of 5 stars,US,2 reviews,2019-05-08T15:01:02.000Z,,I’m happy! Fairly simple process!
Great experience!,David,Rated 5 out of 5 stars,US,1 review,2019-05-08T14:36:04.000Z,,"The claim process was simple. The replacement arrived the next day! Asurion trusted and approved the replacement device immediately, and rewarded me, the customer, with a greatly discounted deductible for no previous claims. Returning the damaged device was made simple as well."
Received my phone promptly,David,Rated 5 out of 5 stars,US,7 reviews,2019-05-08T14:22:09.000Z,,
The representative that handled my case…,CARNELL M,Rated 5 out of 5 stars,US,1 review,2019-05-08T14:08:55.000Z,,The representative that handled my case was professional and made it a pleasant experience!
Claim got processed very fast and the…,Nadiya,Rated 5 out of 5 stars,US,1 review,2019-05-08T13:58:54.000Z,,Claim got processed very fast and the phone arrived early in the morning the next day. Haven't got any shipment faster than this one yet. Amazing !
Thanks for the help,Adolph,Rated 4 out of 5 stars,US,1 review,2019-05-08T13:55:08.000Z,,Thanks for the help. A little frustrating but great effort.
Excellent,Jazmin,Rated 5 out of 5 stars,US,4 reviews,2019-05-08T13:27:35.000Z,,Excellent job!!!
